"Number of Fledglings","Insect Abundance (g/m2)","Environmental noise (dB)","abundance_warning","environment_warning"
5,9,52,NA,NA
6,13,61,NA,NA
4,7,68,NA,NA
7,15,45,NA,NA
3,6,66,NA,NA
6,14,50,NA,NA
4,8,63,NA,NA
5,11,57,NA,NA
3,7,88,NA,"x"
7,16,54,NA,NA
4,10,60,NA,NA
5,12,59,NA,NA
3,6,65,NA,NA
6,13,53,NA,NA
4,9,57,NA,NA
5,11,62,NA,NA
3,8,66,NA,NA
7,15,51,NA,NA
4,10,64,NA,NA
5,12,58,NA,NA
6,14,56,NA,NA
3,7,67,NA,NA
7,16,52,"x",NA
4,9,59,NA,NA
5,11,55,NA,NA
3,6,63,NA,NA
6,13,50,NA,NA
4,8,66,NA,NA
5,12,47,NA,NA
3,7,61,NA,NA
6,14,53,NA,NA
4,9,58,NA,NA
5,11,59,NA,NA
3,8,65,NA,NA
7,15,48,NA,NA
4,10,62,NA,NA
5,12,46,NA,NA
3,6,64,NA,NA
6,13,51,NA,NA
4,9,57,NA,NA
